danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist,month,revenue,position
0.693,0.705,8,-5.747,1,0.0665,0.0228,0,0.202,0.45,131.951,audio_features,38iU2jg98IZZEIJPrP7aWD,spotify:track:38iU2jg98IZZEIJPrP7aWD,https://api.spotify.com/v1/tracks/38iU2jg98IZZEIJPrP7aWD,https://api.spotify.com/v1/audio-analysis/38iU2jg98IZZEIJPrP7aWD,237947,4,Till The World Ends,"Britney Spears, Nicki Minaj & Ke$ha",May 2011,1537.084,9
0.794,0.711,8,-5.124,0,0.0699,0.3,0,0.0955,0.955,174.915,audio_features,1ExfPZEiahqhLyajhybFeS,spotify:track:1ExfPZEiahqhLyajhybFeS,https://api.spotify.com/v1/tracks/1ExfPZEiahqhLyajhybFeS,https://api.spotify.com/v1/audio-analysis/1ExfPZEiahqhLyajhybFeS,189109,4,The Lazy Song,Bruno Mars,May 2011,1472.594,10
0.671,0.939,8,-3.206,1,0.161,0.191,0,0.298,0.53,129.024,audio_features,4QNpBfC0zvjKqPJcyqBy9W,spotify:track:4QNpBfC0zvjKqPJcyqBy9W,https://api.spotify.com/v1/tracks/4QNpBfC0zvjKqPJcyqBy9W,https://api.spotify.com/v1/audio-analysis/4QNpBfC0zvjKqPJcyqBy9W,252307,4,Give Me Everything,"Pitbull, Ne-Yo, Afrojack & Nayer",Jun 2011,2554.289,1
0.75,0.727,5,-4.21,0,0.142,0.0189,0,0.266,0.359,129.993,audio_features,0IkKz2J93C94Ei4BvDop7P,spotify:track:0IkKz2J93C94Ei4BvDop7P,https://api.spotify.com/v1/tracks/0IkKz2J93C94Ei4BvDop7P,https://api.spotify.com/v1/audio-analysis/0IkKz2J93C94Ei4BvDop7P,262173,4,Party Rock Anthem,LMFAO,Jun 2011,2403.586,2
0.443,0.555,7,-15.143,1,0.175,0.000689,8.16e-06,0.119,0.489,147.193,audio_features,3j9Ivwkg9sYcaR9mlnjsAX,spotify:track:3j9Ivwkg9sYcaR9mlnjsAX,https://api.spotify.com/v1/tracks/3j9Ivwkg9sYcaR9mlnjsAX,https://api.spotify.com/v1/audio-analysis/3j9Ivwkg9sYcaR9mlnjsAX,119895,4,On The Floor,Jennifer Lopez & Pitbull,Jun 2011,2157.284,3
0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,audio_features,1c8gk2PeTE04A1pIDH9YMk,spotify:track:1c8gk2PeTE04A1pIDH9YMk,https://api.spotify.com/v1/tracks/1c8gk2PeTE04A1pIDH9YMk,https://api.spotify.com/v1/audio-analysis/1c8gk2PeTE04A1pIDH9YMk,228093,4,Rolling In The Deep,Adele,Jun 2011,1977.711,4
0.794,0.711,8,-5.124,0,0.0699,0.3,0,0.0955,0.955,174.915,audio_features,1ExfPZEiahqhLyajhybFeS,spotify:track:1ExfPZEiahqhLyajhybFeS,https://api.spotify.com/v1/tracks/1ExfPZEiahqhLyajhybFeS,https://api.spotify.com/v1/audio-analysis/1ExfPZEiahqhLyajhybFeS,189109,4,The Lazy Song,Bruno Mars,Jun 2011,1704.408,5
0.638,0.831,5,-3.944,1,0.182,0.0281,3.06e-06,0.277,0.685,175.038,audio_features,5mvKuE9Lf9ARVXVXA32kK9,spotify:track:5mvKuE9Lf9ARVXVXA32kK9,https://api.spotify.com/v1/tracks/5mvKuE9Lf9ARVXVXA32kK9,https://api.spotify.com/v1/audio-analysis/5mvKuE9Lf9ARVXVXA32kK9,223053,4,Price Tag,Jessie J & BoB,Jun 2011,1583.272,6
0.602,0.863,5,-5.423,0,0.0773,0.0178,0,0.389,0.732,150.183,audio_features,4kkeuVl6gF3RMqE4Nn5W3E,spotify:track:4kkeuVl6gF3RMqE4Nn5W3E,https://api.spotify.com/v1/tracks/4kkeuVl6gF3RMqE4Nn5W3E,https://api.spotify.com/v1/audio-analysis/4kkeuVl6gF3RMqE4Nn5W3E,206373,4,E.T.,Katy Perry & Kanye West,Jun 2011,1546.891,7
0.765,0.766,0,-9.374,1,0.0348,0.41,0.052,0.177,0.923,128.177,audio_features,0xuXRQJfxmdP6gvfDe2Z4L,spotify:track:0xuXRQJfxmdP6gvfDe2Z4L,https://api.spotify.com/v1/tracks/0xuXRQJfxmdP6gvfDe2Z4L,https://api.spotify.com/v1/audio-analysis/0xuXRQJfxmdP6gvfDe2Z4L,222760,4,Just Can't Get Enough,The Black Eyed Peas,Jun 2011,1411.097,8
0.581,0.772,9,-6.544,1,0.0401,0.000343,0.0191,0.11,0.361,127.952,audio_features,0JNdS1n0ifOP25XvhwAMgM,spotify:track:0JNdS1n0ifOP25XvhwAMgM,https://api.spotify.com/v1/tracks/0JNdS1n0ifOP25XvhwAMgM,https://api.spotify.com/v1/audio-analysis/0JNdS1n0ifOP25XvhwAMgM,320587,4,The Edge Of Glory,Lady GaGa,Jun 2011,1385.664,9
0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,audio_features,3WMj8moIAXJhHsyLaqIIHI,spotify:track:3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/tracks/3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/audio-analysis/3WMj8moIAXJhHsyLaqIIHI,228013,3,S&M,Rihanna,Jun 2011,1223.204,10
0.671,0.939,8,-3.206,1,0.161,0.191,0,0.298,0.53,129.024,audio_features,4QNpBfC0zvjKqPJcyqBy9W,spotify:track:4QNpBfC0zvjKqPJcyqBy9W,https://api.spotify.com/v1/tracks/4QNpBfC0zvjKqPJcyqBy9W,https://api.spotify.com/v1/audio-analysis/4QNpBfC0zvjKqPJcyqBy9W,252307,4,Give Me Everything,"Pitbull, Ne-Yo, Afrojack & Nayer",Jul 2011,2672.634,1
0.75,0.727,5,-4.21,0,0.142,0.0189,0,0.266,0.359,129.993,audio_features,0IkKz2J93C94Ei4BvDop7P,spotify:track:0IkKz2J93C94Ei4BvDop7P,https://api.spotify.com/v1/tracks/0IkKz2J93C94Ei4BvDop7P,https://api.spotify.com/v1/audio-analysis/0IkKz2J93C94Ei4BvDop7P,262173,4,Party Rock Anthem,LMFAO,Jul 2011,2572.374,2
